OrganisationName,Addr2,PostCode,City,Province,CountryCode,IsSupplier,Currency
LFB,Bergstraße 32,23623,Ahrensbök,Schleswig-Holstein,DE,yes,EUR
TradeFlash Reisebüro Neuhof AG,Friedhofstraße 38,88662,Überlingen,Baden-Württemberg,DE,no,EUR
SiliconSet Kühlenstein GmbH,Am Bahnhof 41,15306,Libbenichen,Brandenburg,DE,no,EUR
WebServe Pietzpuhl AG,Lindenstraße 44,37589,Kalefeld,Niedersachsen,DE,yes,EUR
Hans-Georg Westphal Services,Goethestraße 40,49191,Belm,Niedersachsen,DE,yes,EUR
Matthias Exner,Ringstraße 8,54689,Daleiden,Rheinland-Pfalz,DE,yes,EUR
XFC,Dorfstraße 12,16928,Kuhsdorf,Brandenburg,DE,no,EUR
FreeSoft,Burgstraße 18,9395,Hormersdorf,Sachsen,DE,no,EUR
Alstrum Kraftwerke,Erlenweg 5,18320,Neuenrost,Mecklenburg-Vorpommern,DE,no,EUR
Dietrich Kuhlmann,Waldstraße 9,1734,Rabenau,Sachsen,DE,no,EUR
RBC,Bachstraße 46,99510,Stobra,Thüringen,DE,yes,EUR
Polexis Business Technology Consulting,Schulstraße 12,15859,Kehrigk,Brandenburg,DE,no,EUR
BFW Deutschland GmbH & Co. KG,Poststraße 35,36452,Kaltennordheim,Thüringen,DE,yes,EUR
Norbert Grund Automation,Rosenstraße 50,79295,Sulzburg,Baden-Württemberg,DE,no,EUR
AutoWire,Kirchweg 29,19067,Cambs,Mecklenburg-Vorpommern,DE,no,EUR
Michael Weber Kongress Bleckenrode GmbH & Co. KG,Buchenweg 50,54578,Basberg,Rheinland-Pfalz,DE,yes,EUR
PowerCity,Talstraße 20,16818,Darsikow,Brandenburg,DE,no,EUR
Album,Tulpenweg 24,67580,Hamm,Rheinland-Pfalz,DE,yes,EUR
YXC Neese Ausbau AG,Waldweg 17,24848,Klein Rheide,Schleswig-Holstein,DE,yes,EUR
PGC,Talstraße 24,23923,Palingen,Mecklenburg-Vorpommern,DE,no,EUR
CompuSystems,Waldweg 49,25832,Kotzenbüll,Schleswig-Holstein,DE,yes,EUR
Altoni Messe,Poststraße 17,24211,Preetz,Schleswig-Holstein,DE,no,EUR
Lanxotec,Schützenstraße 44,39264,Lindau,Sachsen-Anhalt,DE,no,EUR
BookSpace Staucha GmbH,Am Bahnhof 3,99326,Ehrenstein,Thüringen,DE,yes,EUR
Singon,Jahnstraße 10,6542,Nienstedt,Sachsen-Anhalt,DE,yes,EUR
MMH,Erlenweg 5,39343,Groß Santersleben,Sachsen-Anhalt,DE,no,EUR
DynaVision,Lindenstraße 34,17179,Kleverhof,Mecklenburg-Vorpommern,DE,no,EUR
SolarScout Kiebitzreihe AG,Ringstraße 26,93158,Teublitz,Bayern,DE,no,EUR
Entrorius,Bahnhofstraße 7,16818,Rägelin,Brandenburg,DE,no,EUR
CyberBot,Brunnenstraße 15,38468,Ehra-Lessien,Niedersachsen,DE,yes,EUR
AIR,Gartenstraße 28,47652,Weeze,Nordrhein-Westfalen,DE,no,EUR
HotStation,Hauptstraße 38,17291,Bietikow,Brandenburg,DE,no,EUR
BookWorks,Drosselweg 25,4720,Leschen,Sachsen,DE,yes,EUR
Alstralon Thierschneck AG,Bergstraße 11,3226,Raddusch,Brandenburg,DE,yes,EUR
Thomas Schäfer Pharmahandel,Friedhofstraße 22,21514,Fitzen,Schleswig-Holstein,DE,no,EUR
Georg Wolf Schalter und Sensoren,Lindenstraße 38,98704,Wümbach,Thüringen,DE,no,EUR
TechVision,Schulstraße 28,95493,Bischofsgrün,Bayern,DE,yes,EUR
VentureCity Werlte GmbH,Schützenstraße 19,85410,Haag,Bayern,DE,no,EUR
Hans Knorr LB,Erlenweg 6,97070,Würzburg,Bayern,DE,no,EUR
CQA,Birkenweg 21,2894,Vierkirchen,Sachsen,DE,no,EUR
YTX,Jahnstraße 29,16278,Bruchhagen,Brandenburg,DE,yes,EUR
YVL Electronic,Drosselweg 31,86920,Epfach,Bayern,DE,no,EUR
NanoZone,Fasanenweg 6,88524,Uttenweiler,Baden-Württemberg,DE,no,EUR
QLR,Uhlandstraße 26,96135,Stegaurach,Bayern,DE,yes,EUR
Horst Götz,Ringstraße 43,76473,Iffezheim,Baden-Württemberg,DE,no,EUR
GigaBot,Danziger Straße 35,56414,Berod,Rheinland-Pfalz,DE,no,EUR
DigiBit Electronics Hümmel GmbH,Mühlenstraße 6,18230,Neu Gaarz,Mecklenburg-Vorpommern,DE,no,EUR
Walter Rauscher,Ringstraße 11,24589,Eisendorf,Schleswig-Holstein,DE,yes,EUR
Peter Friedrich,Finkenweg 24,99842,Ruhla,Thüringen,DE,yes,EUR
TeleZone SatellitenFernsehen Deutschland GmbH,Kirchstraße 2,94474,Vilshofen,Bayern,DE,no,EUR
NanoMart Power Deutschland GmbH,Königsberger Straße 30,99428,Nohra,Thüringen,DE,no,EUR
RealStation Services Deutschland GmbH,Wiesenweg 15,96523,Eschenthal,Thüringen,DE,no,EUR
Reinhold Seiler Computer,Am Sportplatz 35,4683,Fuchshain,Sachsen,DE,no,EUR
Avexon,Bergstraße 30,25355,Bullenkuhlen,Schleswig-Holstein,DE,no,EUR
MyBot Deutschland GmbH,Bergstraße 9,56759,Laubach,Rheinland-Pfalz,DE,no,EUR
Conada,Heideweg 15,15295,Groß Lindow,Brandenburg,DE,no,EUR
Sygnis Realisierungsmanagement Strub GmbH,Kirchstraße 32,83371,Stein,Bayern,DE,no,EUR
Karl Schmidt Versicherung,Bachstraße 8,35282,Rauschenberg,Hessen,DE,no,EUR
Udo Marquardt Electronics,Neue Straße 36,14793,Steinberg,Brandenburg,DE,yes,EUR
David Neuhaus Grubnitz GmbH,Erlenweg 19,6618,Löbitz,Sachsen-Anhalt,DE,yes,EUR
VentureCity Werke,Amselweg 28,67806,Wolfsmühle,Rheinland-Pfalz,DE,no,EUR
WAL Informatik,Lessingstraße 32,7589,Bocka,Thüringen,DE,yes,EUR
WTE Deutschland GmbH,Marktplatz 6,34519,Diemelsee,Hessen,DE,no,EUR
DynaBox Deutschland GmbH,Meisenweg 11,36148,Kalbach,Hessen,DE,yes,EUR
Albional Autovermietung,Friedhofstraße 3,99830,Treffurt,Thüringen,DE,no,EUR
Rainer Seibold Real Estate,Bahnhofstraße 18,67677,Altenhof,Rheinland-Pfalz,DE,no,EUR
Belium Pneumatik,Jahnstraße 3,19417,Nisbill,Mecklenburg-Vorpommern,DE,yes,EUR
Vinzenz Weber Fachverlag,Rosenweg 1,94104,Witzmannsberg,Bayern,DE,no,EUR
THY Schalter und Sensoren,Waldstraße 6,97334,Sommerach,Bayern,DE,yes,EUR
WGV Erfrischungsgetränke,Erlenweg 21,92256,Hahnbach,Bayern,DE,no,EUR
Winfried Klein,Hauptstraße 20,34396,Liebenau,Hessen,DE,no,EUR
VentureBase,Lindenstraße 45,49777,Groß Berßen,Niedersachsen,DE,no,EUR
Tenculus Nahrungsmittel,Berliner Straße 10,57635,Mehren,Rheinland-Pfalz,DE,no,EUR
Siegfried Groß,Brunnenstraße 10,14974,Kerzendorf,Brandenburg,DE,no,EUR
TradeForge,Finkenweg 48,97253,Gaukönigshofen,Bayern,DE,no,EUR
KJK Kraftwerke,Hauptstraße 22,89335,Wiblishauserhof,Bayern,DE,no,EUR
Procicom,Waldstraße 13,72531,Hohenstein,Baden-Württemberg,DE,no,EUR
Lindagon Sektkellerei,Rosenstraße 24,6493,Badeborn,Sachsen-Anhalt,DE,yes,EUR
Elubis,Goethestraße 30,1594,Treben,Sachsen,DE,no,EUR
SolarStar,Kirchplatz 19,92364,Deining,Bayern,DE,no,EUR
Michael Morgenstern Recruitment,Waldstraße 42,75337,Enzklösterle,Baden-Württemberg,DE,yes,EUR
CMQ,Grüner Weg 45,29221,Celle,Niedersachsen,DE,yes,EUR
RUF,Talstraße 37,98631,Jüchsen,Thüringen,DE,no,EUR
NDS HealthCare,Kirchstraße 11,49774,Lähden,Niedersachsen,DE,yes,EUR
CodeWare Pneumatik Nittenau GmbH,Lindenweg 9,16356,Ahrensfelde,Brandenburg,DE,no,EUR
Arceo,Kirchstraße 7,17129,Alt Tellin,Mecklenburg-Vorpommern,DE,yes,EUR
MMC,Bachstraße 33,99625,Battgendorf,Thüringen,DE,no,EUR
Stefan Schreiber,Finkenweg 37,53572,Unkel,Rheinland-Pfalz,DE,yes,EUR
YVM Autositze,Fliederweg 23,6493,Straßberg,Sachsen-Anhalt,DE,no,EUR
MyStation,Mozartstraße 5,57612,Idelberg,Rheinland-Pfalz,DE,yes,EUR
CodeWire Internet Deutschland GmbH,Schulstraße 39,83565,Tegernau,Bayern,DE,no,EUR
Epcex,Dorfstraße 27,1471,Großdittmannsdorf,Sachsen,DE,no,EUR
DynaDirect,Gartenstraße 14,15370,Bruchmühle,Brandenburg,DE,no,EUR
PowerQuest Lobenstein AG & Co. KG,Waldstraße 5,56459,Stockum-Püschen,Rheinland-Pfalz,DE,no,EUR
Edmund Andresen Mömbris GmbH,Buchenweg 42,85088,Vohburg,Bayern,DE,no,EUR
WireTech,Bahnhofstraße 38,19273,Konau,Niedersachsen,DE,no,EUR
Dirk Trapp,Wiesenstraße 21,16306,Luckow-Petershagen,Brandenburg,DE,no,EUR
MicroServe,Beethovenstraße 19,24860,Klappholz,Schleswig-Holstein,DE,yes,EUR
Klaus Blümel,Kirchstraße 36,54484,Maring-Noviand,Rheinland-Pfalz,DE,yes,EUR
CyberWare Television,Hauptstraße 22,19217,Klein Molzahn,Mecklenburg-Vorpommern,DE,no,EUR
JHL,Amselweg 13,89597,Unterwachingen,Baden-Württemberg,DE,no,EUR
Dieter Bartel,Waldweg 47,73489,Reifensägmühle,Baden-Württemberg,DE,no,EUR
Illumoni Verlag,Schulweg 20,82288,Kottgeisering,Bayern,DE,no,EUR
SmartBot,Lerchenweg 1,54552,Utzerath,Rheinland-Pfalz,DE,yes,EUR
PUA Krankenkasse Crawinkel GmbH,Am Bahnhof 15,22967,Tremsbüttel,Schleswig-Holstein,DE,yes,EUR
DPO Schindhard GmbH,Marktplatz 45,6484,Quedlinburg,Sachsen-Anhalt,DE,no,EUR
LWN Sektkellerei,Bahnhofstraße 23,39448,Etgersleben,Sachsen-Anhalt,DE,no,EUR
Alfred Kiefer Markersdorf AG,Kapellenweg 49,23923,Klein Neuleben,Mecklenburg-Vorpommern,DE,no,EUR
YXH,Dorfstraße 5,23992,Klein Warin,Mecklenburg-Vorpommern,DE,yes,EUR
Envos,Mozartstraße 6,74196,Neuenstadt,Baden-Württemberg,DE,no,EUR
Günter Rasch,Mühlenstraße 6,23923,Boitin-Resdorf,Mecklenburg-Vorpommern,DE,no,EUR
NanoStar Technische Überwachung,Kirchweg 16,56305,Döttesfeld,Rheinland-Pfalz,DE,no,EUR
Evis Nutzfahrzeuge,Kirchweg 37,6577,Oberheldrungen,Thüringen,DE,yes,EUR
Harald Schade Deutschland GmbH,Hauptstraße 25,88090,Immenstaad,Baden-Württemberg,DE,no,EUR
Lindeon,Hauptstraße 24,24790,Haßmoor,Schleswig-Holstein,DE,yes,EUR
Andreas Schütz,Waldstraße 40,7554,Pölzig,Thüringen,DE,no,EUR
ObjectCom,Schulstraße 37,17495,Lühmannsdorf,Mecklenburg-Vorpommern,DE,yes,EUR
Heinrich Schütte,Bachstraße 31,7768,Seitenroda,Thüringen,DE,no,EUR
WireDirect Werke,Goethestraße 13,19406,Loiz,Mecklenburg-Vorpommern,DE,no,EUR
HomeScout Gars Bahnhof AG,Königsberger Straße 34,17379,Rothemühl,Mecklenburg-Vorpommern,DE,no,EUR
Illumium Informations-Systeme,Bahnhofstraße 33,1847,Lohmen,Sachsen,DE,no,EUR
Eless Deutschland GmbH & Co. KG,Bahnhofstraße 7,7924,Crispendorf,Thüringen,DE,yes,EUR
WXX,Kirchweg 21,73574,Iggingen,Baden-Württemberg,DE,no,EUR
Pentis,Waldstraße 29,85655,Kleinhelfendorf,Bayern,DE,no,EUR
MicroDirect Au GmbH,Bahnhofstraße 8,15751,Niederlehme,Brandenburg,DE,yes,EUR
LOT,Industriestraße 40,21493,Talkau,Schleswig-Holstein,DE,no,EUR
Klaus Meier Krankenversicherung,Jahnstraße 1,23974,Boiensdorf,Mecklenburg-Vorpommern,DE,yes,EUR
TeleScape Mode,Bahnhofstraße 18,27628,Bramstedt,Niedersachsen,DE,no,EUR
GWP Deutschland AG & Co. KG,Mühlenstraße 15,91586,Lichtenau,Bayern,DE,no,EUR
